0.4, 19.8
0.6, 26
0.8, 32.6
1, 33.6
1.2, 42.9
1.4, 52.2
1.6, 60.31
1.8, 69
2, 76.4
2.2, 84.2
2.4, 91.4
2.6, 98.4
