1,73
2,227
3,416
4,620
5,782
6,958
7,1114
8,1286
9,1415
10,1573
11,1730
12,1887
13,2068
1,75
2,217
3,457
4,616
5,786
6,955
7,1123
8,1292
9,1420
10,1580
11,1730
12,1883
13,2064
