B,d,w1,w0
5.12,0.1953125,0.505050505050505,0.541500678954348
5.1,0.196078431372549,0.500417014178482,0.537460639794978
5.13,0.194931773879142,0.50125313283208,0.537822554047006
5.41,0.184842883548983,0.490998363338789,0.524639194494724
5.34,0.187265917602996,0.490998363338789,0.525497779916396
5.4,0.185185185185185,0.491400491400491,0.52513616877979
27.13,0.036859565057132,0.529380624669137,0.530662296862408
26.95,0.037105751391466,0.528122524425667,0.529424439927044
27.23,0.036724201248623,0.528960592435863,0.530233887362406
69.13,0.014465499783018,0.531067445565587,0.531264418555892
68.89,0.014515894904921,0.531208499335989,0.531406794246822
69.23,0.014444604940055,0.531208499335989,0.531404851670238
