52.116,9,0.116,7.93
62.519,9.3,0.191,7.75
72.518,9.7,0.255,7.59
81.305,10,0.315,7.45
94.132,10.5,0.362,7.22
101.505,10.9,0.429,7.01
113.423,11.8,0.526,6.61
122.311,12.6,0.586,6.24
131.906,22.7,0.755,1.515
142.41,23.4,0.757,1.166
