7.93	9	0.003
7.75	9.3	0.003
7.59	9.7	0.003
7.45	10	0.003
7.22	10.5	0.003
7.01	10.9	0.003
6.61	11.8	0.003
6.24	12.6	0.003
1.515	22.7	0.003
1.166	23.4	0.003
